week,position,song,artist
1997-07-07 00:00:00,1,Mmm Bop,Hanson
1997-07-07 00:00:00,2,Bitch,Meredith Brooks
1997-07-07 00:00:00,3,Say You'll Be There,Spice Girls
1997-07-07 00:00:00,4,Return Of The Mack,Mark Morrison
1997-07-07 00:00:00,5,Sunny Came Home,Shawn Colvin
1997-07-07 00:00:00,6,Do You Know,Robyn
1997-07-07 00:00:00,7,The Freshmen,Verve Pipe
1997-07-07 00:00:00,8,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
1997-07-07 00:00:00,9,I Want You,Savage Garden
1997-07-07 00:00:00,10,Quit Playing Games (with My Heart),Backstreet Boys
1997-07-07 00:00:00,11,Semi-charmed Life,Third Eye Blind
1997-07-07 00:00:00,12,For You I Will,Monica
1997-07-07 00:00:00,13,Your Woman,White Town
1997-07-07 00:00:00,14,You Were Meant For Me,Jewel
1997-07-07 00:00:00,15,One Headlight,Wallflowers
1997-07-07 00:00:00,16,All For You,Sister Hazel
1997-07-07 00:00:00,17,Where Have All The Cowboys Gone?,Paula Cole
1997-07-07 00:00:00,18,How Bizarre,Omc
1997-07-07 00:00:00,19,Butterfly Kisses,Raybion Bros.
1997-07-07 00:00:00,20,Barely Breathing,Duncan Sheik
1997-07-07 00:00:00,21,I'll Be Missing You,Puff Daddy &amp; Faith Evans
1997-07-07 00:00:00,22,Whatever,En Vogue
1997-07-07 00:00:00,23,Don't Leave Me,Blackstreet
1997-07-07 00:00:00,24,A Change Would Do You Good,Sheryl Crow
1997-07-07 00:00:00,25,I Wanna Be There,Blessid Union Of Souls
1997-07-07 00:00:00,26,Look Into My Eyes,Bone Thugs-N-Harmony
1997-07-07 00:00:00,27,I Belong To You,Rome
1997-07-07 00:00:00,28,G.h.e.t.t.o.u.t.,Changing Faces
1997-07-07 00:00:00,29,It's Your Love,Tim McGraw
1997-07-07 00:00:00,30,Da' Dip,Freak Nasty
1997-07-07 00:00:00,31,Gimme Some Love,Gina G
1997-07-07 00:00:00,32,Smile,Scarface Feturing 2Pac &amp; Johnny P
1997-07-07 00:00:00,33,Gotham City,R. Kelly
1997-07-07 00:00:00,34,Cupid,112
1997-07-07 00:00:00,35,Can U Feel It,3rd Party
1997-07-07 00:00:00,36,Go The Distance,Michael Bolton
1997-07-07 00:00:00,37,Daylight Fading,Counting Crow
1997-07-07 00:00:00,38,Can't Nobody Hold Me Down,Puff Duddy (feturing Mase)
1997-07-07 00:00:00,39,"How Come, How Long",Babyface
1997-07-07 00:00:00,40,How Do I Live,LeAnn Rimes
1997-07-14 00:00:00,1,Bitch,Meredith Brooks
1997-07-14 00:00:00,2,Mmm Bop,Hanson
1997-07-14 00:00:00,3,Return Of The Mack,Mark Morrison
1997-07-14 00:00:00,4,Sunny Came Home,Shawn Colvin
1997-07-14 00:00:00,5,Do You Know,Robyn
1997-07-14 00:00:00,6,Say You'll Be There,Spice Girls
1997-07-14 00:00:00,7,The Freshmen,Verve Pipe
1997-07-14 00:00:00,8,Quit Playing Games (with My Heart),Backstreet Boys
1997-07-14 00:00:00,9,Semi-charmed Life,Third Eye Blind
1997-07-14 00:00:00,10,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
1997-07-14 00:00:00,11,Whatever,En Vogue
1997-07-14 00:00:00,12,All For You,Sister Hazel
1997-07-14 00:00:00,13,I Want You,Savage Garden
1997-07-14 00:00:00,14,For You I Will,Monica
1997-07-14 00:00:00,15,How Bizarre,Omc
1997-07-14 00:00:00,16,Gotham City,R. Kelly
1997-07-14 00:00:00,17,One Headlight,Wallflowers
1997-07-14 00:00:00,18,Your Woman,White Town
1997-07-14 00:00:00,19,You Were Meant For Me,Jewel
1997-07-14 00:00:00,20,I'll Be Missing You,Puff Daddy &amp; Faith Evans
1997-07-14 00:00:00,21,Where Have All The Cowboys Gone?,Paula Cole
1997-07-14 00:00:00,22,Butterfly Kisses,Bob Carlisle
1997-07-14 00:00:00,23,Barely Breathing,Duncan Sheik
1997-07-14 00:00:00,24,A Change Would Do You Good,Sheryl Crow
1997-07-14 00:00:00,25,Don't Leave Me,Blackstreet
1997-07-14 00:00:00,26,Look Into My Eyes,Bone Thugs-N-Harmony
1997-07-14 00:00:00,27,It's Your Love,Tim McGraw
1997-07-14 00:00:00,28,I Belong To You,Rome
1997-07-14 00:00:00,29,G.h.e.t.t.o.u.t.,Changing Faces
1997-07-14 00:00:00,30,Smile,Scarface Feturing 2Pac &amp; Johnny P
1997-07-14 00:00:00,31,I Wanna Be There,Blessid Union Of Souls
1997-07-14 00:00:00,32,Gimme Some Love,Gina G
1997-07-14 00:00:00,33,C U When U Get There,Coolio &amp; 40 Thevz
1997-07-14 00:00:00,34,How Do I Live,LeAnn Rimes
1997-07-14 00:00:00,35,Cupid,112
1997-07-14 00:00:00,36,Daylight Fading,Counting Crow
1997-07-14 00:00:00,37,"How Come, How Long",Babyface
1997-07-14 00:00:00,38,Da' Dip,Freak Nasty
1997-07-14 00:00:00,39,Can't Nobody Hold Me Down,Puff Duddy (feturing Mase)
1997-07-14 00:00:00,40,Men In Black,Will Smith
1997-07-21 00:00:00,1,Bitch,Meredith Brooks
1997-07-21 00:00:00,2,Mmm Bop,Hanson
1997-07-21 00:00:00,3,Sunny Came Home,Shawn Colvin
1997-07-21 00:00:00,4,Do You Know,Robyn
1997-07-21 00:00:00,5,Return Of The Mack,Mark Morrison
1997-07-21 00:00:00,6,The Freshmen,Verve Pipe
1997-07-21 00:00:00,7,Quit Playing Games (with My Heart),Backstreet Boys
1997-07-21 00:00:00,8,Semi-charmed Life,Third Eye Blind
1997-07-21 00:00:00,9,Say You'll Be There,Spice Girls
1997-07-21 00:00:00,10,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
1997-07-21 00:00:00,11,All For You,Sister Hazel
1997-07-21 00:00:00,12,Whatever,En Vogue
1997-07-21 00:00:00,13,Gotham City,R. Kelly
1997-07-21 00:00:00,14,How Bizarre,Omc
1997-07-21 00:00:00,15,I Want You,Savage Garden
1997-07-21 00:00:00,16,For You I Will,Monica
1997-07-21 00:00:00,17,You Were Meant For Me,Jewel
1997-07-21 00:00:00,18,One Headlight,Wallflowers
1997-07-21 00:00:00,19,I'll Be Missing You,Puff Daddy &amp; Faith Evans
1997-07-21 00:00:00,20,Barely Breathing,Duncan Sheik
1997-07-21 00:00:00,21,A Change Would Do You Good,Sheryl Crow
1997-07-21 00:00:00,22,Your Woman,White Town
1997-07-21 00:00:00,23,Where Have All The Cowboys Gone?,Paula Cole
1997-07-21 00:00:00,24,Look Into My Eyes,Bone Thugs-N-Harmony
1997-07-21 00:00:00,25,Smile,Scarface Feturing 2Pac &amp; Johnny P
1997-07-21 00:00:00,26,G.h.e.t.t.o.u.t.,Changing Faces
1997-07-21 00:00:00,27,I Belong To You,Rome
1997-07-21 00:00:00,28,Don't Leave Me,Blackstreet
1997-07-21 00:00:00,29,Gimme Some Love,Gina G
1997-07-21 00:00:00,30,Men In Black,Will Smith
1997-07-21 00:00:00,31,Butterfly Kisses,Bob Carlisle
1997-07-21 00:00:00,32,How Do I Live,LeAnn Rimes
1997-07-21 00:00:00,33,C U When U Get There,Coolio &amp; 40 Thevz
1997-07-21 00:00:00,34,It's Your Love,Tim McGraw
1997-07-21 00:00:00,35,To The Moon And Back,Savage Garden
1997-07-21 00:00:00,36,How Do I Live,Trisha Yearwood
1997-07-21 00:00:00,37,More Than This,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
1997-07-21 00:00:00,38,I Wanna Be There,Blessid Union Of Souls
1997-07-21 00:00:00,39,Go The Distance,Michael Bolton
1997-07-21 00:00:00,40,Crash Into Me,Dave Matthews Band
1997-07-28 00:00:00,1,Bitch,Meredith Brooks
1997-07-28 00:00:00,2,Do You Know,Robyn
1997-07-28 00:00:00,3,Sunny Came Home,Shawn Colvin
1997-07-28 00:00:00,4,Quit Playing Games (with My Heart),Backstreet Boys
1997-07-28 00:00:00,5,Semi-charmed Life,Third Eye Blind
1997-07-28 00:00:00,6,Return Of The Mack,Mark Morrison
1997-07-28 00:00:00,7,Mmm Bop,Hanson
1997-07-28 00:00:00,8,How Bizarre,Omc
1997-07-28 00:00:00,9,The Freshmen,Verve Pipe
1997-07-28 00:00:00,10,Say You'll Be There,Spice Girls
1997-07-28 00:00:00,11,All For You,Sister Hazel
1997-07-28 00:00:00,12,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
1997-07-28 00:00:00,13,Gotham City,R. Kelly
1997-07-28 00:00:00,14,Whatever,En Vogue
1997-07-28 00:00:00,15,I'll Be Missing You,Puff Daddy &amp; Faith Evans
1997-07-28 00:00:00,16,I Want You,Savage Garden
1997-07-28 00:00:00,17,A Change Would Do You Good,Sheryl Crow
1997-07-28 00:00:00,18,For You I Will,Monica
1997-07-28 00:00:00,19,One Headlight,Wallflowers
1997-07-28 00:00:00,20,Barely Breathing,Duncan Sheik
1997-07-28 00:00:00,21,"Mo Money,mo Problems",Notorious B.I.G.
1997-07-28 00:00:00,22,Men In Black,Will Smith
1997-07-28 00:00:00,23,2 Become 1,Spice Girls
1997-07-28 00:00:00,24,You Were Meant For Me,Jewel
1997-07-28 00:00:00,25,Your Woman,White Town
1997-07-28 00:00:00,26,To The Moon And Back,Savage Garden
1997-07-28 00:00:00,27,Look Into My Eyes,Bone Thugs-N-Harmony
1997-07-28 00:00:00,28,More Than This,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
1997-07-28 00:00:00,29,Where Have All The Cowboys Gone?,Paula Cole
1997-07-28 00:00:00,30,How Do I Live,LeAnn Rimes
1997-07-28 00:00:00,31,G.h.e.t.t.o.u.t.,Changing Faces
1997-07-28 00:00:00,32,It's Your Love,Tim McGraw
1997-07-28 00:00:00,33,Smile,Scarface Feturing 2Pac &amp; Johnny P
1997-07-28 00:00:00,34,C U When U Get There,Coolio &amp; 40 Thevz
1997-07-28 00:00:00,35,Crash Into Me,Dave Matthews Band
1997-07-28 00:00:00,36,Gimme Some Love,Gina G
1997-07-28 00:00:00,37,How Do I Live,Trisha Yearwood
1997-07-28 00:00:00,38,I Belong To You,Rome
1997-07-28 00:00:00,39,Don't Leave Me,Blackstreet
1997-07-28 00:00:00,40,Go The Distance,Michael Bolton
1997-08-04 00:00:00,1,Bitch,Meredith Brooks
1997-08-04 00:00:00,2,Do You Know,Robyn
1997-08-04 00:00:00,3,Quit Playing Games (with My Heart),Backstreet Boys
1997-08-04 00:00:00,4,Semi-charmed Life,Third Eye Blind
1997-08-04 00:00:00,5,Sunny Came Home,Shawn Colvin
1997-08-04 00:00:00,6,How Bizarre,Omc
1997-08-04 00:00:00,7,Return Of The Mack,Mark Morrison
1997-08-04 00:00:00,8,The Freshmen,Verve Pipe
1997-08-04 00:00:00,9,All For You,Sister Hazel
1997-08-04 00:00:00,10,Mmm Bop,Hanson
1997-08-04 00:00:00,11,I'll Be Missing You,Puff Daddy &amp; Faith Evans
1997-08-04 00:00:00,12,Say You'll Be There,Spice Girls
1997-08-04 00:00:00,13,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
1997-08-04 00:00:00,14,Gotham City,R. Kelly
1997-08-04 00:00:00,15,Whatever,En Vogue
1997-08-04 00:00:00,16,Men In Black,Will Smith
1997-08-04 00:00:00,17,2 Become 1,Spice Girls
1997-08-04 00:00:00,18,A Change Would Do You Good,Sheryl Crow
1997-08-04 00:00:00,19,One Headlight,Wallflowers
1997-08-04 00:00:00,20,"Mo Money,mo Problems",Notorious B.I.G.
1997-08-04 00:00:00,21,I Want You,Savage Garden
1997-08-04 00:00:00,22,More Than This,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
1997-08-04 00:00:00,23,Barely Breathing,Duncan Sheik
1997-08-04 00:00:00,24,To The Moon And Back,Savage Garden
1997-08-04 00:00:00,25,For You I Will,Monica
1997-08-04 00:00:00,26,Where's The Love,Hanson
1997-08-04 00:00:00,27,Not Tonight,"Lil' Kim Feat. Da Brat. Left Eye, Elliott And Angie Martinez"
1997-08-04 00:00:00,28,How Do I Live,LeAnn Rimes
1997-08-04 00:00:00,29,Never Make A Promise,Dru Hill
1997-08-04 00:00:00,30,Look Into My Eyes,Bone Thugs-N-Harmony
1997-08-04 00:00:00,31,Crash Into Me,Dave Matthews Band
1997-08-04 00:00:00,32,C U When U Get There,Coolio &amp; 40 Thevz
1997-08-04 00:00:00,33,Your Woman,White Town
1997-08-04 00:00:00,34,It's Your Love,Tim McGraw
1997-08-04 00:00:00,35,G.h.e.t.t.o.u.t.,Changing Faces
1997-08-04 00:00:00,36,You Were Meant For Me,Jewel
1997-08-04 00:00:00,37,The Difference,Wallflowers
1997-08-04 00:00:00,38,Someone,SWV (featuring Puff Daddy)
1997-08-04 00:00:00,39,Invisible Man,98 Degrees
1997-08-04 00:00:00,40,Push,Matchbox 20
1997-08-11 00:00:00,1,Bitch,Meredith Brooks
1997-08-11 00:00:00,2,Semi-charmed Life,Third Eye Blind
1997-08-11 00:00:00,3,Quit Playing Games (with My Heart),Backstreet Boys
1997-08-11 00:00:00,4,Do You Know,Robyn
1997-08-11 00:00:00,5,How Bizarre,Omc
1997-08-11 00:00:00,6,Sunny Came Home,Shawn Colvin
1997-08-11 00:00:00,7,2 Become 1,Spice Girls
1997-08-11 00:00:00,8,All For You,Sister Hazel
1997-08-11 00:00:00,9,Return Of The Mack,Mark Morrison
1997-08-11 00:00:00,10,The Freshmen,Verve Pipe
1997-08-11 00:00:00,11,I'll Be Missing You,Puff Daddy &amp; Faith Evans
1997-08-11 00:00:00,12,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
1997-08-11 00:00:00,13,Mmm Bop,Hanson
1997-08-11 00:00:00,14,Say You'll Be There,Spice Girls
1997-08-11 00:00:00,15,Men In Black,Will Smith
1997-08-11 00:00:00,16,Gotham City,R. Kelly
1997-08-11 00:00:00,17,More Than This,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
1997-08-11 00:00:00,18,Where's The Love,Hanson
1997-08-11 00:00:00,19,A Change Would Do You Good,Sheryl Crow
1997-08-11 00:00:00,20,"Mo Money,mo Problems",Notorious B.I.G.
1997-08-11 00:00:00,21,One Headlight,Wallflowers
1997-08-11 00:00:00,22,Invisible Man,98 Degrees
1997-08-11 00:00:00,23,Barely Breathing,Duncan Sheik
1997-08-11 00:00:00,24,To The Moon And Back,Savage Garden
1997-08-11 00:00:00,25,How Do I Live,LeAnn Rimes
1997-08-11 00:00:00,26,Not Tonight,"Lil' Kim Feat. Da Brat. Left Eye, Elliott And Angie Martinez"
1997-08-11 00:00:00,27,Never Make A Promise,Dru Hill
1997-08-11 00:00:00,28,I Want You,Savage Garden
1997-08-11 00:00:00,29,Push,Matchbox 20
1997-08-11 00:00:00,30,Crash Into Me,Dave Matthews Band
1997-08-11 00:00:00,31,Coco Jamboo,Mr.President
1997-08-11 00:00:00,32,C U When U Get There,Coolio &amp; 40 Thevz
1997-08-11 00:00:00,33,The Difference,Wallflowers
1997-08-11 00:00:00,34,Foolish Games,Jewel
1997-08-11 00:00:00,35,Whatever,En Vogue
1997-08-11 00:00:00,36,For You I Will,Monica
1997-08-11 00:00:00,37,G.h.e.t.t.o.u.t.,Changing Faces
1997-08-11 00:00:00,38,Look Into My Eyes,Bone Thugs-N-Harmony
1997-08-11 00:00:00,39,You Were Meant For Me,Jewel
1997-08-11 00:00:00,40,Someone,SWV (featuring Puff Daddy)
1997-08-18 00:00:00,1,Semi-charmed Life,Third Eye Blind
1997-08-18 00:00:00,2,Quit Playing Games (with My Heart),Backstreet Boys
1997-08-18 00:00:00,3,Bitch,Meredith Brooks
1997-08-18 00:00:00,4,Do You Know,Robyn
1997-08-18 00:00:00,5,How Bizarre,Omc
1997-08-18 00:00:00,6,2 Become 1,Spice Girls
1997-08-18 00:00:00,7,Sunny Came Home,Shawn Colvin
1997-08-18 00:00:00,8,All For You,Sister Hazel
1997-08-18 00:00:00,9,I'll Be Missing You,Puff Daddy &amp; Faith Evans
1997-08-18 00:00:00,10,The Freshmen,Verve Pipe
1997-08-18 00:00:00,11,Return Of The Mack,Mark Morrison
1997-08-18 00:00:00,12,Men In Black,Will Smith
1997-08-18 00:00:00,13,Where's The Love,Hanson
1997-08-18 00:00:00,14,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
1997-08-18 00:00:00,15,More Than This,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
1997-08-18 00:00:00,16,Invisible Man,98 Degrees
1997-08-18 00:00:00,17,Say You'll Be There,Spice Girls
1997-08-18 00:00:00,18,Mmm Bop,Hanson
1997-08-18 00:00:00,19,A Change Would Do You Good,Sheryl Crow
1997-08-18 00:00:00,20,"Mo Money,mo Problems",Notorious B.I.G.
1997-08-18 00:00:00,21,How Do I Live,LeAnn Rimes
1997-08-18 00:00:00,22,Coco Jamboo,Mr.President
1997-08-18 00:00:00,23,Foolish Games,Jewel
1997-08-18 00:00:00,24,Push,Matchbox 20
1997-08-18 00:00:00,25,Gotham City,R. Kelly
1997-08-18 00:00:00,26,One Headlight,Wallflowers
1997-08-18 00:00:00,27,To The Moon And Back,Savage Garden
1997-08-18 00:00:00,28,Crash Into Me,Dave Matthews Band
1997-08-18 00:00:00,29,Never Make A Promise,Dru Hill
1997-08-18 00:00:00,30,Not Tonight,"Lil' Kim Feat. Da Brat. Left Eye, Elliott And Angie Martinez"
1997-08-18 00:00:00,31,The Difference,Wallflowers
1997-08-18 00:00:00,32,C U When U Get There,Coolio &amp; 40 Thevz
1997-08-18 00:00:00,33,G.h.e.t.t.o.u.t.,Changing Faces
1997-08-18 00:00:00,34,Up Jumps Da Boogie,Magoo &amp; Timbaland
1997-08-18 00:00:00,35,Someone,SWV (featuring Puff Daddy)
1997-08-18 00:00:00,36,You Were Meant For Me,Jewel
1997-08-18 00:00:00,37,Look Into My Eyes,Bone Thugs-N-Harmony
1997-08-18 00:00:00,38,If You Could Only See,Tonic
1997-08-18 00:00:00,39,It's Your Love,Tim McGraw
1997-08-18 00:00:00,40,You Make Me Wanna...,Usher
1997-08-25 00:00:00,1,Semi-charmed Life,Third Eye Blind
