chart_order,week,position,artist,song,combo
0,7/7/97,1,Hanson,Mmm Bop,Hanson: Mmm Bop
1,7/7/97,2,Meredith Brooks,Bitch,Meredith Brooks: Bitch
2,7/7/97,3,Spice Girls,Say You'll Be There,Spice Girls: Say You'll Be There
3,7/7/97,4,Mark Morrison,Return Of The Mack,Mark Morrison: Return Of The Mack
4,7/7/97,5,Shawn Colvin,Sunny Came Home,Shawn Colvin: Sunny Came Home
5,7/7/97,6,Robyn,Do You Know,Robyn: Do You Know
6,7/7/97,7,Verve Pipe,The Freshmen,Verve Pipe: The Freshmen
7,7/7/97,8,Az Yet,Hard To Say I'm Sorry,Az Yet: Hard To Say I'm Sorry
8,7/7/97,9,Savage Garden,I Want You,Savage Garden: I Want You
9,7/7/97,10,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
10,7/7/97,11,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
11,7/7/97,12,Monica,For You I Will,Monica: For You I Will
12,7/7/97,13,White Town,Your Woman,White Town: Your Woman
13,7/7/97,15,Wallflowers,One Headlight,Wallflowers: One Headlight
14,7/7/97,16,Sister Hazel,All For You,Sister Hazel: All For You
15,7/7/97,17,Paula Cole,Where Have All The Cowboys Gone?,Paula Cole: Where Have All The Cowboys Gone?
16,7/7/97,18,Omc,How Bizarre,Omc: How Bizarre
17,7/7/97,20,Duncan Sheik,Barely Breathing,Duncan Sheik: Barely Breathing
18,7/7/97,22,En Vogue,Whatever,En Vogue: Whatever
19,7/7/97,23,Blackstreet,Don't Leave Me,Blackstreet: Don't Leave Me
20,7/7/97,25,Blessid Union Of Souls,I Wanna Be There,Blessid Union Of Souls: I Wanna Be There
21,7/7/97,28,Changing Faces,G.h.e.t.t.o.u.t.,Changing Faces: G.h.e.t.t.o.u.t.
22,7/7/97,30,Freak Nasty,Da' Dip,Freak Nasty: Da' Dip
23,7/7/97,32,Scarface,Smile,Scarface: Smile
24,7/7/97,34,112,Cupid,112: Cupid
25,7/7/97,36,Michael Bolton,Go The Distance,Michael Bolton: Go The Distance
26,7/7/97,40,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
27,7/14/97,1,Meredith Brooks,Bitch,Meredith Brooks: Bitch
28,7/14/97,2,Hanson,Mmm Bop,Hanson: Mmm Bop
29,7/14/97,3,Mark Morrison,Return Of The Mack,Mark Morrison: Return Of The Mack
30,7/14/97,4,Shawn Colvin,Sunny Came Home,Shawn Colvin: Sunny Came Home
31,7/14/97,5,Robyn,Do You Know,Robyn: Do You Know
32,7/14/97,6,Spice Girls,Say You'll Be There,Spice Girls: Say You'll Be There
33,7/14/97,7,Verve Pipe,The Freshmen,Verve Pipe: The Freshmen
34,7/14/97,8,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
35,7/14/97,9,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
36,7/14/97,10,Az Yet,Hard To Say I'm Sorry,Az Yet: Hard To Say I'm Sorry
37,7/14/97,11,En Vogue,Whatever,En Vogue: Whatever
38,7/14/97,12,Sister Hazel,All For You,Sister Hazel: All For You
39,7/14/97,13,Savage Garden,I Want You,Savage Garden: I Want You
40,7/14/97,14,Monica,For You I Will,Monica: For You I Will
41,7/14/97,15,Omc,How Bizarre,Omc: How Bizarre
42,7/14/97,17,Wallflowers,One Headlight,Wallflowers: One Headlight
43,7/14/97,18,White Town,Your Woman,White Town: Your Woman
44,7/14/97,21,Paula Cole,Where Have All The Cowboys Gone?,Paula Cole: Where Have All The Cowboys Gone?
45,7/14/97,22,Bob Carlisle,Butterfly Kisses,Bob Carlisle: Butterfly Kisses
46,7/14/97,23,Duncan Sheik,Barely Breathing,Duncan Sheik: Barely Breathing
47,7/14/97,25,Blackstreet,Don't Leave Me,Blackstreet: Don't Leave Me
48,7/14/97,29,Changing Faces,G.h.e.t.t.o.u.t.,Changing Faces: G.h.e.t.t.o.u.t.
49,7/14/97,30,Scarface,Smile,Scarface: Smile
50,7/14/97,31,Blessid Union Of Souls,I Wanna Be There,Blessid Union Of Souls: I Wanna Be There
51,7/14/97,33,Coolio,C U When U Get There,Coolio: C U When U Get There
52,7/14/97,34,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
53,7/14/97,35,112,Cupid,112: Cupid
54,7/14/97,38,Freak Nasty,Da' Dip,Freak Nasty: Da' Dip
55,7/21/97,1,Meredith Brooks,Bitch,Meredith Brooks: Bitch
56,7/21/97,2,Hanson,Mmm Bop,Hanson: Mmm Bop
57,7/21/97,3,Shawn Colvin,Sunny Came Home,Shawn Colvin: Sunny Came Home
58,7/21/97,4,Robyn,Do You Know,Robyn: Do You Know
59,7/21/97,5,Mark Morrison,Return Of The Mack,Mark Morrison: Return Of The Mack
60,7/21/97,6,Verve Pipe,The Freshmen,Verve Pipe: The Freshmen
61,7/21/97,7,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
62,7/21/97,8,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
63,7/21/97,9,Spice Girls,Say You'll Be There,Spice Girls: Say You'll Be There
64,7/21/97,10,Az Yet,Hard To Say I'm Sorry,Az Yet: Hard To Say I'm Sorry
65,7/21/97,11,Sister Hazel,All For You,Sister Hazel: All For You
66,7/21/97,12,En Vogue,Whatever,En Vogue: Whatever
67,7/21/97,14,Omc,How Bizarre,Omc: How Bizarre
68,7/21/97,15,Savage Garden,I Want You,Savage Garden: I Want You
69,7/21/97,16,Monica,For You I Will,Monica: For You I Will
70,7/21/97,18,Wallflowers,One Headlight,Wallflowers: One Headlight
71,7/21/97,20,Duncan Sheik,Barely Breathing,Duncan Sheik: Barely Breathing
72,7/21/97,22,White Town,Your Woman,White Town: Your Woman
73,7/21/97,23,Paula Cole,Where Have All The Cowboys Gone?,Paula Cole: Where Have All The Cowboys Gone?
74,7/21/97,25,Scarface,Smile,Scarface: Smile
75,7/21/97,26,Changing Faces,G.h.e.t.t.o.u.t.,Changing Faces: G.h.e.t.t.o.u.t.
76,7/21/97,28,Blackstreet,Don't Leave Me,Blackstreet: Don't Leave Me
77,7/21/97,31,Bob Carlisle,Butterfly Kisses,Bob Carlisle: Butterfly Kisses
