week,position,song,artist
7/7/1997,1,Mmm Bop,Hanson
7/7/1997,2,Bitch,Meredith Brooks
7/7/1997,3,Say You'll Be There,Spice Girls
7/7/1997,4,Return Of The Mack,Mark Morrison
7/7/1997,5,Sunny Came Home,Shawn Colvin
7/7/1997,6,Do You Know,Robyn
7/7/1997,7,The Freshmen,Verve Pipe
7/7/1997,8,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
7/7/1997,9,I Want You,Savage Garden
7/7/1997,10,Quit Playing Games (with My Heart),Backstreet Boys
7/7/1997,11,Semi-charmed Life,Third Eye Blind
7/7/1997,12,For You I Will,Monica
7/7/1997,13,Your Woman,White Town
7/7/1997,14,You Were Meant For Me,Jewel
7/7/1997,15,One Headlight,Wallflowers
7/7/1997,16,All For You,Sister Hazel
7/7/1997,17,Where Have All The Cowboys Gone?,Paula Cole
7/7/1997,18,How Bizarre,Omc
7/7/1997,19,Butterfly Kisses,Raybion Bros.
7/7/1997,20,Barely Breathing,Duncan Sheik
7/7/1997,21,I'll Be Missing You,Puff Daddy &amp; Faith Evans
7/7/1997,22,Whatever,En Vogue
7/7/1997,23,Don't Leave Me,Blackstreet
7/7/1997,24,A Change Would Do You Good,Sheryl Crow
7/7/1997,25,I Wanna Be There,Blessid Union Of Souls
7/7/1997,26,Look Into My Eyes,Bone Thugs-N-Harmony
7/7/1997,27,I Belong To You,Rome
7/7/1997,28,G.h.e.t.t.o.u.t.,Changing Faces
7/7/1997,29,It's Your Love,Tim McGraw
7/7/1997,30,Da' Dip,Freak Nasty
7/7/1997,31,Gimme Some Love,Gina G
7/7/1997,32,Smile,Scarface Feturing 2Pac &amp; Johnny P
7/7/1997,33,Gotham City,R. Kelly
7/7/1997,34,Cupid,112
7/7/1997,35,Can U Feel It,3rd Party
7/7/1997,36,Go The Distance,Michael Bolton
7/7/1997,37,Daylight Fading,Counting Crow
7/7/1997,38,Can't Nobody Hold Me Down,Puff Duddy (feturing Mase)
7/7/1997,39,"How Come, How Long",Babyface
7/7/1997,40,How Do I Live,LeAnn Rimes
7/14/1997,1,Bitch,Meredith Brooks
7/14/1997,2,Mmm Bop,Hanson
7/14/1997,3,Return Of The Mack,Mark Morrison
7/14/1997,4,Sunny Came Home,Shawn Colvin
7/14/1997,5,Do You Know,Robyn
7/14/1997,6,Say You'll Be There,Spice Girls
7/14/1997,7,The Freshmen,Verve Pipe
7/14/1997,8,Quit Playing Games (with My Heart),Backstreet Boys
7/14/1997,9,Semi-charmed Life,Third Eye Blind
7/14/1997,10,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
7/14/1997,11,Whatever,En Vogue
7/14/1997,12,All For You,Sister Hazel
7/14/1997,13,I Want You,Savage Garden
7/14/1997,14,For You I Will,Monica
7/14/1997,15,How Bizarre,Omc
7/14/1997,16,Gotham City,R. Kelly
7/14/1997,17,One Headlight,Wallflowers
7/14/1997,18,Your Woman,White Town
7/14/1997,19,You Were Meant For Me,Jewel
7/14/1997,20,I'll Be Missing You,Puff Daddy &amp; Faith Evans
7/14/1997,21,Where Have All The Cowboys Gone?,Paula Cole
7/14/1997,22,Butterfly Kisses,Bob Carlisle
7/14/1997,23,Barely Breathing,Duncan Sheik
7/14/1997,24,A Change Would Do You Good,Sheryl Crow
7/14/1997,25,Don't Leave Me,Blackstreet
7/14/1997,26,Look Into My Eyes,Bone Thugs-N-Harmony
7/14/1997,27,It's Your Love,Tim McGraw
7/14/1997,28,I Belong To You,Rome
7/14/1997,29,G.h.e.t.t.o.u.t.,Changing Faces
7/14/1997,30,Smile,Scarface Feturing 2Pac &amp; Johnny P
7/14/1997,31,I Wanna Be There,Blessid Union Of Souls
7/14/1997,32,Gimme Some Love,Gina G
7/14/1997,33,C U When U Get There,Coolio &amp; 40 Thevz
7/14/1997,34,How Do I Live,LeAnn Rimes
7/14/1997,35,Cupid,112
7/14/1997,36,Daylight Fading,Counting Crow
