,Unnamed: 0,week,position,song,artist
0,0,7/7/1997,1,Mmm Bop,Hanson
1,1,7/7/1997,2,Bitch,Meredith Brooks
2,2,7/7/1997,3,Say You'll Be There,Spice Girls
3,3,7/7/1997,4,Return Of The Mack,Mark Morrison
4,4,7/7/1997,5,Sunny Came Home,Shawn Colvin
5,5,7/7/1997,6,Do You Know,Robyn
6,6,7/7/1997,7,The Freshmen,Verve Pipe
7,7,7/7/1997,8,Hard To Say I'm Sorry,Az Yet
8,8,7/7/1997,9,I Want You,Savage Garden
9,9,7/7/1997,10,Quit Playing Games (with My Heart),Backstreet Boys
10,10,7/7/1997,11,Semi-charmed Life,Third Eye Blind
11,11,7/7/1997,12,For You I Will,Monica
12,12,7/7/1997,13,Your Woman,White Town
13,13,7/7/1997,14,You Were Meant For Me,Jewel
14,14,7/7/1997,15,One Headlight,Wallflowers
15,15,7/7/1997,16,All For You,Sister Hazel
16,16,7/7/1997,17,Where Have All The Cowboys Gone?,Paula Cole
17,17,7/7/1997,18,How Bizarre,Omc
18,18,7/7/1997,19,Butterfly Kisses,Raybion Bros.
19,19,7/7/1997,20,Barely Breathing,Duncan Sheik
20,20,7/7/1997,21,I'll Be Missing You,Puff Daddy
21,21,7/7/1997,22,Whatever,En Vogue
22,22,7/7/1997,23,Don't Leave Me,Blackstreet
23,23,7/7/1997,24,A Change Would Do You Good,Sheryl Crow
24,24,7/7/1997,25,I Wanna Be There,Blessid Union Of Souls
25,25,7/7/1997,26,Look Into My Eyes,Bone Thugs-N-Harmony
26,26,7/7/1997,27,I Belong To You,Rome
27,27,7/7/1997,28,G.h.e.t.t.o.u.t.,Changing Faces
28,28,7/7/1997,29,It's Your Love,Tim McGraw
29,29,7/7/1997,30,Da' Dip,Freak Nasty
30,30,7/7/1997,31,Gimme Some Love,Gina G
31,31,7/7/1997,32,Smile,Scarface
32,32,7/7/1997,33,Gotham City,R. Kelly
33,33,7/7/1997,34,Cupid,112
34,34,7/7/1997,35,Can U Feel It,3rd Party
35,35,7/7/1997,36,Go The Distance,Michael Bolton
36,36,7/7/1997,37,Daylight Fading,Counting Crow
37,37,7/7/1997,38,Can't Nobody Hold Me Down,Puff Duddy
38,38,7/7/1997,39,"How Come, How Long",Babyface
39,39,7/7/1997,40,How Do I Live,LeAnn Rimes
61,61,7/14/1997,22,Butterfly Kisses,Bob Carlisle
72,72,7/14/1997,33,C U When U Get There,Coolio
79,79,7/14/1997,40,Men In Black,Will Smith
114,114,7/21/1997,35,To The Moon And Back,Savage Garden
115,115,7/21/1997,36,How Do I Live,Trisha Yearwood
118,119,7/21/1997,40,Crash Into Me,Dave Matthews Band
139,140,7/28/1997,21,"Mo Money,mo Problems",Notorious B.I.G.
141,142,7/28/1997,23,2 Become 1,Spice Girls
182,185,8/4/1997,26,Where's The Love,Hanson
183,186,8/4/1997,27,Not Tonight,Lil' Kim
185,188,8/4/1997,29,Never Make A Promise,Dru Hill
193,196,8/4/1997,37,The Difference,Wallflowers
194,197,8/4/1997,38,Someone,SWV
195,198,8/4/1997,39,Invisible Man,98 Degrees
196,199,8/4/1997,40,Push,Matchbox 20
226,230,8/11/1997,31,Coco Jamboo,Mr.President
229,233,8/11/1997,34,Foolish Games,Jewel
268,273,8/18/1997,34,Up Jumps Da Boogie,Magoo
272,277,8/18/1997,38,If You Could Only See,Tonic
274,279,8/18/1997,40,You Make Me Wanna...,Usher
305,311,8/25/1997,32,Honey,Mariah Carey
313,319,8/25/1997,40,When I Die,No Mercy
332,338,9/1/1997,19,Building A Mystery,Sarah McLachlan
334,341,9/1/1997,22,Barbie Girl,Aqua
347,354,9/1/1997,35,I Don't Want To Wait,Paula Cole
366,373,9/8/1997,14,Where's The Love?,Hanson
384,392,9/8/1997,33,Fly,Sugar Ray
387,395,9/8/1997,36,All Cried Out,Allure
391,399,9/8/1997,40,I Miss My Homies,Master P
426,434,9/15/1997,35,You Should Be Mine (Don't Waste Your Time),Brian McKnight
427,435,9/15/1997,36,What About Us,Total
428,436,9/15/1997,37,The Impression That I Get,Mighty Mighty Bosstones
452,461,9/22/1997,22,4 Seasons Of Loneliness,Boyz II Men
461,470,9/22/1997,31,On My Own,Peach Union
468,477,9/22/1997,38,My Love Is The Shhh!,Somethin' For The People
505,514,9/29/1997,35,Criminal,Fiona Apple
510,519,9/29/1997,40,Butta Love,Next
534,543,10/6/1997,24,Candle In The Wind 1997,Elton John
540,549,10/6/1997,30,"Too Gone,too Long",En Vogue
541,550,10/6/1997,31,Show Me Love,Robyn
544,553,10/6/1997,34,The One I Gave My Heart To,Aaliyah
549,558,10/6/1997,39,Tubthumping,Chumbawamba
550,559,10/6/1997,40,Legend Of A Cowgirl,Imani Coppola
590,599,10/13/1997,40,Walkin' On The Sun,Smash Mouth
628,637,10/20/1997,38,I Care 'bout You,Milestone
629,638,10/20/1997,39,Everything,Mary J. Blige
630,639,10/20/1997,40,Takes A Little Time,Amy Grant
663,672,10/27/1997,33,Butterfly,Mariah Carey
703,712,11/3/1997,33,My Body,LSG
704,713,11/3/1997,34,Feel So Good,Mase
707,716,11/3/1997,37,Sock It 2 Me,Missy 'Misdemeanor' Elliott
708,717,11/3/1997,38,I Will Come To You,Hanson
742,751,11/10/1997,32,Breaking All The Rules,She Moves
777,786,11/17/1997,27,I Do,Lisa Loeb
783,792,11/17/1997,33,As Long As You Love Me,Backstreet Boys
789,798,11/17/1997,39,Spice Up Your Life,Spice Girls
790,799,11/17/1997,40,Something About The Way You Look Tonight,Elton John
827,836,11/24/1997,37,"Truly,madly,deeply",Savage Garden
859,868,12/1/1997,29,Together Again,Janet Jackson
869,878,12/1/1997,39,Love You Down,Inoj
870,879,12/1/1997,40,How's It Going To Be,Third Eye Blind
901,910,12/8/1997,31,It's All About The Benjamins,Puff Daddy
910,919,12/8/1997,40,A Song For Mama,Boyz II Men
941,950,12/15/1997,31,3:00 AM,Matchbox 20
945,954,12/15/1997,35,What Would Happen,Meredith Brooks
986,995,12/22/1997,36,We're Not Making Love No More,Dru Hill
1024,1033,12/29/1997,34,I Don't Ever Want To See You Again,Uncle Sam
1061,1070,1/5/1998,31,Heaven,Nu Flavor
1069,1078,1/5/1998,39,Lollipop (Candyman),Aqua
1070,1079,1/5/1998,40,Going Back To Cali,The Notorious B.I.G.
1103,1112,1/12/1998,33,Time Of Your Life,Green Day
1105,1114,1/12/1998,35,Back To You,Bryan Adams
1107,1116,1/12/1998,37,My Heart Will Go On,Celine Dion
1108,1117,1/12/1998,38,Dangerous,Busta Rhymes
1141,1151,1/19/1998,32,Kiss The Rain,Billie Myers
1148,1158,1/19/1998,39,Sweet Surrender,Sarah McLachlan
1181,1192,1/26/1998,33,"No, No, No",Destiny's Child
1185,1196,1/26/1998,37,Father,Ll Cool J
1186,1197,1/26/1998,38,Been Around The World,Puff Daddy
1188,1199,1/26/1998,40,The Mummers' Dance,Loreena Mckennitt
1224,1236,2/2/1998,37,Gone Till November,Wyclef Jean
1227,1239,2/2/1998,40,Pink,Aerosmith
1252,1265,2/9/1998,26,Too Much,Spice Girls
1253,1266,2/9/1998,27,Are You Jimmy Ray?,Jimmy Ray
1260,1273,2/9/1998,34,I Know Where It's At,All Saints
1263,1276,2/9/1998,37,Gettin' Jiggy Wit It,Will Smith
1265,1278,2/9/1998,39,What You Want,Mase
1289,1304,2/16/1998,25,All My Life,K-Ci
1301,1317,2/16/1998,38,I Want You Back,NSync
1333,1350,2/23/1998,31,Brick,Ben Folds Five
1338,1356,2/23/1998,37,Deja Vu (uptown Baby),Lord Tariq
1368,1387,3/2/1998,28,Frozen,Madonna
1369,1388,3/2/1998,29,Torn,Natalie Imbruglia
1377,1397,3/2/1998,38,Bitter Sweet Symphony,Verve
1379,1399,3/2/1998,40,Body Bumpin' Yippie-yi-yo,Public Announcement
1417,1439,3/9/1998,40,Sex And Candy,Marcy Playground
1446,1469,3/16/1998,30,My Father's Eyes,Eric Clapton
1455,1479,3/16/1998,40,Too Close,Next
1483,1508,3/23/1998,29,Let's Ride,"Montell Jordan, Master P"
1488,1513,3/23/1998,34,Turn Back Time,Aqua
1493,1518,3/23/1998,39,Do For Love,2 Pac
1520,1547,3/30/1998,28,Do You Really Want Me,Robyn
1529,1556,3/30/1998,37,Romeo And Juliet,Sylk-e. Fyne
1530,1557,3/30/1998,38,You're Still The One,Shania Twain
1568,1596,4/6/1998,37,Make Em' Say Uhh!,"Master P, Friend"
1569,1597,4/6/1998,38,Anytime,Brian Mckight
1570,1598,4/6/1998,39,Amnesia,Chumbawamba
1571,1599,4/6/1998,40,It's Up To You,Tuesdays
1592,1621,4/13/1998,22,Everybody (backstreet's Back),Backstreet Boys
1610,1639,4/13/1998,40,Victory,Puff Daddy
1643,1673,4/20/1998,34,It's All About Me,Mya
1682,1713,4/27/1998,34,"Money, Power &amp; Respect",Lox
1685,1717,4/27/1998,38,A Rose Is Still A Rose,Aretha Franklin
1687,1719,4/27/1998,40,The Arms Of The One Who Loves You,Xscape
1702,1734,5/4/1998,15,My All,Mariah Carey
1712,1745,5/4/1998,26,Turn It Up (remix),Busta Rhymes
1718,1752,5/4/1998,33,Searchin' My Soul,Vonda Shepard
1721,1755,5/4/1998,36,The Way,Fastball
1725,1759,5/4/1998,40,Uninvited,Alanis Morissette
1750,1785,5/11/1998,26,Iris,Goo Goo Dolls
1762,1798,5/11/1998,39,I Got The Hook Up,Master P
1763,1799,5/11/1998,40,I'll Be,Edwin McCain
1781,1817,5/18/1998,18,I Get Lonely,Janet Jackson
1826,1864,5/25/1998,25,Adia,Sarah McLachlan
1836,1874,5/25/1998,35,Heroes,Wallflowers
1837,1875,5/25/1998,36,Looking Through Your Eyes,LeAnn Rimes
1839,1877,5/25/1998,38,Raise The Roof,Luke
1841,1879,5/25/1998,40,Kind &amp; Generous,Natalie Merchant
1856,1894,6/1/1998,15,The Boy Is Mine,Brandy
1872,1910,6/1/1998,31,Ray Of Light,Madonna
1877,1915,6/1/1998,36,Real World,Matchbox 20
1879,1917,6/1/1998,38,They Don't Know,Jon B.
1951,1989,6/15/1998,30,My Way,Usher
1957,1995,6/15/1998,36,Closing Time,Semisonic
1960,1998,6/15/1998,39,Say It,Voices Of Theory
1984,2022,6/22/1998,23,I Don't Want To Miss A Thing,Aerosmith
1988,2026,6/22/1998,27,To Love You More,Celine Dion
1991,2029,6/22/1998,30,Come With Me,Puff Daddy
1993,2031,6/22/1998,32,Stop,Spice Girls
2000,2038,6/22/1998,39,Make It Hot,Nicole
2022,2060,6/29/1998,21,Just The Two Of Us,Will Smith
2037,2076,6/29/1998,37,When The Lights Go Out,Five
2078,2117,7/6/1998,38,Shorty,Imajin
2080,2119,7/6/1998,40,This Kiss,Faith Hill
2109,2148,7/13/1998,29,Can't Get Enough Of You Baby,Smash Mouth
2113,2152,7/13/1998,33,Never Ever,All Saints
2118,2158,7/13/1998,39,Friend Of Mine,Kelly Price
2119,2159,7/13/1998,40,Crush,Jennifer Paige
2145,2186,7/20/1998,27,Cruel Summer,Ace Of Base
2155,2196,7/20/1998,37,Nobody Does It Better,Nate Dogg
2158,2199,7/20/1998,40,Cleopatra's Theme,Cleopatra
2194,2236,7/27/1998,37,Lookin' At Me,Mase
2224,2267,8/3/1998,28,I'll Never Break Your Heart,Backstreet Boys
2236,2279,8/3/1998,40,Daydreamin',Tatyana Ali
2268,2312,8/10/1998,33,The First Night,Monica
2273,2317,8/10/1998,38,Gotta Be,Jagged Edge
2275,2319,8/10/1998,40,I Still Love You,Next
2296,2340,8/17/1998,21,Tearin' Up My Heart,NSync
2305,2350,8/17/1998,31,Wishing I Was There,Natalie Imbruglia
2309,2354,8/17/1998,35,Time After Time,Inoj
2312,2357,8/17/1998,38,One Week,Barenaked Ladies
2383,2430,8/31/1998,31,Go Deep,Janet Jackson
2388,2435,8/31/1998,36,Thinkin' Bout It,Gerald Levert
2426,2474,9/7/1998,35,I Will Wait,Hootie
2427,2475,9/7/1998,36,Are You That Somebody?,Aaliyah
2428,2476,9/7/1998,37,I Can Do That,Montell Jordan
2431,2479,9/7/1998,40,Still A Thang,Snoop Dogg
2469,2518,9/14/1998,39,Splackavellie,Pressha
2503,2552,9/21/1998,33,Jump Jive An' Wail,Brian Setzer Orchestra
2505,2554,9/21/1998,35,My Favorite Mistake,Sheryl Crow
2508,2557,9/21/1998,38,Lately,Devine
2545,2594,9/28/1998,35,Save Tonight,Eagle-Eye Cherry
2546,2595,9/28/1998,36,Jumper,Third Eye Blind
2547,2596,9/28/1998,37,Westside,TQ
2548,2597,9/28/1998,38,Hooch,Everything
2549,2598,9/28/1998,39,Because Of You,98 Degrees
2578,2627,10/5/1998,28,How Deep Is Your Love,Dru Hill
2613,2662,10/12/1998,23,Thank U,Alanis Morissette
2616,2665,10/12/1998,26,The Power Of Good-bye,Madonna
2621,2670,10/12/1998,31,Touch It,Monifah
2629,2678,10/12/1998,39,Nobody's Supposed To Be Here,Deborah Cox
2661,2710,10/19/1998,31,My Little Secret,Xscape
2666,2715,10/19/1998,36,Come And Get With Me,Keith Sweat
2691,2740,10/26/1998,21,Lullaby,Shawn Mullins
2707,2756,10/26/1998,37,Hands,Jewel
2710,2759,10/26/1998,40,All The Places,Aaron Hall
2740,2789,11/2/1998,30,Inside Out,Eve 6
2745,2794,11/2/1998,35,From This Moment,Shania Twain
2746,2795,11/2/1998,36,Love Me,112
2750,2799,11/2/1998,40,Slide,Goo Goo Dolls
2768,2817,11/9/1998,18,Doo Wop (That Thing),Lauryn Hill
2778,2827,11/9/1998,28,Lately,Divine
2787,2836,11/9/1998,37,Trippin',Total
2789,2838,11/9/1998,39,...Baby One More Time,Britney Spears
2790,2839,11/9/1998,40,Love Like This,Faith Evans
2858,2907,11/23/1998,28,Have You Ever?,Brandy
2868,2917,11/23/1998,38,Pushin' Weight,Ice Cube
2869,2918,11/23/1998,39,Ghetto Cowboy,Mo Things Family
2890,2939,11/30/1998,20,I'm Your Angel,R. Kelly
2939,2988,12/7/1998,29,Miami,Will Smith
2946,2995,12/7/1998,36,(God Must Have Spent) A Little More Time...,NSync
2950,2999,12/7/1998,40,Hold Me,"Brian McKnight, Tone"
2984,3033,12/14/1998,34,You Get What You Give,New Radicals
3017,3066,12/21/1998,27,Goodbye,Spice Girls
3020,3069,12/21/1998,30,Angel,Sarah McLachlan
3064,3115,12/28/1998,36,Can I Get A ...,"Jay-Z, Ja Rule"
3068,3119,12/28/1998,40,I Don't Want To Miss A Thing,Mark Chesnutt
3142,3195,1/11/1999,36,Big Big World,Emilia
3143,3196,1/11/1999,37,I Will Get There,Boyz II Men
3144,3197,1/11/1999,38,Believe,Cher
3145,3198,1/11/1999,39,Wherever You Go,Voices Of Theory
3171,3226,1/18/1999,27,Pretty Fly (For A White Guy),Offspring
3197,3252,1/25/1999,13,Angel Of Mine,Monica
3208,3265,1/25/1999,26,All I Have To Give,Backstreet Boys
3210,3267,1/25/1999,28,It's All Been Done,Barenaked Ladies
3211,3268,1/25/1999,29,Taking Everything,Gerald Levert
3218,3275,1/25/1999,36,Back 2 Good,Matchbox 20
3220,3277,1/25/1999,38,Every Morning,Sugar Ray
3247,3305,2/1/1999,26,How Do I Deal,Jennifer Love Hewitt
3257,3316,2/1/1999,37,Heartbreak Hotel,"Whitney Houston, Faith Evans"
3258,3317,2/1/1999,38,Woof,Snoop Dogg
