,week,position,song,artist
0,7/7/1997,1,Mmm Bop,Hanson
1,7/7/1997,2,Bitch,Meredith Brooks
2,7/7/1997,3,Say You'll Be There,Spice Girls
3,7/7/1997,4,Return Of The Mack,Mark Morrison
4,7/7/1997,5,Sunny Came Home,Shawn Colvin
5,7/7/1997,6,Do You Know,Robyn
6,7/7/1997,7,The Freshmen,Verve Pipe
7,7/7/1997,8,Hard To Say I'm Sorry,Az Yet
8,7/7/1997,9,I Want You,Savage Garden
9,7/7/1997,10,Quit Playing Games (with My Heart),Backstreet Boys
10,7/7/1997,11,Semi-charmed Life,Third Eye Blind
11,7/7/1997,12,For You I Will,Monica
12,7/7/1997,13,Your Woman,White Town
13,7/7/1997,14,You Were Meant For Me,Jewel
14,7/7/1997,15,One Headlight,Wallflowers
15,7/7/1997,16,All For You,Sister Hazel
16,7/7/1997,17,Where Have All The Cowboys Gone?,Paula Cole
17,7/7/1997,18,How Bizarre,Omc
18,7/7/1997,19,Butterfly Kisses,Raybion Bros.
19,7/7/1997,20,Barely Breathing,Duncan Sheik
20,7/7/1997,21,I'll Be Missing You,Puff Daddy
21,7/7/1997,22,Whatever,En Vogue
22,7/7/1997,23,Don't Leave Me,Blackstreet
23,7/7/1997,24,A Change Would Do You Good,Sheryl Crow
24,7/7/1997,25,I Wanna Be There,Blessid Union Of Souls
25,7/7/1997,26,Look Into My Eyes,Bone Thugs-N-Harmony
26,7/7/1997,27,I Belong To You,Rome
27,7/7/1997,28,G.h.e.t.t.o.u.t.,Changing Faces
28,7/7/1997,29,It's Your Love,Tim McGraw
29,7/7/1997,30,Da' Dip,Freak Nasty
30,7/7/1997,31,Gimme Some Love,Gina G
31,7/7/1997,32,Smile,Scarface
32,7/7/1997,33,Gotham City,R. Kelly
33,7/7/1997,34,Cupid,112
34,7/7/1997,35,Can U Feel It,3rd Party
35,7/7/1997,36,Go The Distance,Michael Bolton
36,7/7/1997,37,Daylight Fading,Counting Crow
37,7/7/1997,38,Can't Nobody Hold Me Down,Puff Duddy
38,7/7/1997,39,"How Come, How Long",Babyface
39,7/7/1997,40,How Do I Live,LeAnn Rimes
40,7/14/1997,1,Bitch,Meredith Brooks
41,7/14/1997,2,Mmm Bop,Hanson
42,7/14/1997,3,Return Of The Mack,Mark Morrison
43,7/14/1997,4,Sunny Came Home,Shawn Colvin
44,7/14/1997,5,Do You Know,Robyn
45,7/14/1997,6,Say You'll Be There,Spice Girls
46,7/14/1997,7,The Freshmen,Verve Pipe
47,7/14/1997,8,Quit Playing Games (with My Heart),Backstreet Boys
48,7/14/1997,9,Semi-charmed Life,Third Eye Blind
49,7/14/1997,10,Hard To Say I'm Sorry,Az Yet
50,7/14/1997,11,Whatever,En Vogue
51,7/14/1997,12,All For You,Sister Hazel
52,7/14/1997,13,I Want You,Savage Garden
53,7/14/1997,14,For You I Will,Monica
54,7/14/1997,15,How Bizarre,Omc
55,7/14/1997,16,Gotham City,R. Kelly
56,7/14/1997,17,One Headlight,Wallflowers
57,7/14/1997,18,Your Woman,White Town
58,7/14/1997,19,You Were Meant For Me,Jewel
59,7/14/1997,20,I'll Be Missing You,Puff Daddy
60,7/14/1997,21,Where Have All The Cowboys Gone?,Paula Cole
61,7/14/1997,22,Butterfly Kisses,Bob Carlisle
62,7/14/1997,23,Barely Breathing,Duncan Sheik
63,7/14/1997,24,A Change Would Do You Good,Sheryl Crow
64,7/14/1997,25,Don't Leave Me,Blackstreet
65,7/14/1997,26,Look Into My Eyes,Bone Thugs-N-Harmony
66,7/14/1997,27,It's Your Love,Tim McGraw
67,7/14/1997,28,I Belong To You,Rome
68,7/14/1997,29,G.h.e.t.t.o.u.t.,Changing Faces
69,7/14/1997,30,Smile,Scarface
70,7/14/1997,31,I Wanna Be There,Blessid Union Of Souls
71,7/14/1997,32,Gimme Some Love,Gina G
72,7/14/1997,33,C U When U Get There,Coolio
73,7/14/1997,34,How Do I Live,LeAnn Rimes
74,7/14/1997,35,Cupid,112
75,7/14/1997,36,Daylight Fading,Counting Crow
76,7/14/1997,37,"How Come, How Long",Babyface
77,7/14/1997,38,Da' Dip,Freak Nasty
78,7/14/1997,39,Can't Nobody Hold Me Down,Puff Duddy
79,7/14/1997,40,Men In Black,Will Smith
80,7/21/1997,1,Bitch,Meredith Brooks
81,7/21/1997,2,Mmm Bop,Hanson
82,7/21/1997,3,Sunny Came Home,Shawn Colvin
83,7/21/1997,4,Do You Know,Robyn
84,7/21/1997,5,Return Of The Mack,Mark Morrison
85,7/21/1997,6,The Freshmen,Verve Pipe
86,7/21/1997,7,Quit Playing Games (with My Heart),Backstreet Boys
87,7/21/1997,8,Semi-charmed Life,Third Eye Blind
88,7/21/1997,9,Say You'll Be There,Spice Girls
89,7/21/1997,10,Hard To Say I'm Sorry,Az Yet
90,7/21/1997,11,All For You,Sister Hazel
91,7/21/1997,12,Whatever,En Vogue
92,7/21/1997,13,Gotham City,R. Kelly
93,7/21/1997,14,How Bizarre,Omc
94,7/21/1997,15,I Want You,Savage Garden
95,7/21/1997,16,For You I Will,Monica
96,7/21/1997,17,You Were Meant For Me,Jewel
97,7/21/1997,18,One Headlight,Wallflowers
98,7/21/1997,19,I'll Be Missing You,Puff Daddy
99,7/21/1997,20,Barely Breathing,Duncan Sheik
100,7/21/1997,21,A Change Would Do You Good,Sheryl Crow
101,7/21/1997,22,Your Woman,White Town
102,7/21/1997,23,Where Have All The Cowboys Gone?,Paula Cole
103,7/21/1997,24,Look Into My Eyes,Bone Thugs-N-Harmony
104,7/21/1997,25,Smile,Scarface
105,7/21/1997,26,G.h.e.t.t.o.u.t.,Changing Faces
106,7/21/1997,27,I Belong To You,Rome
107,7/21/1997,28,Don't Leave Me,Blackstreet
108,7/21/1997,29,Gimme Some Love,Gina G
109,7/21/1997,30,Men In Black,Will Smith
110,7/21/1997,31,Butterfly Kisses,Bob Carlisle
111,7/21/1997,32,How Do I Live,LeAnn Rimes
112,7/21/1997,33,C U When U Get There,Coolio
113,7/21/1997,34,It's Your Love,Tim McGraw
114,7/21/1997,35,To The Moon And Back,Savage Garden
115,7/21/1997,36,How Do I Live,Trisha Yearwood
117,7/21/1997,38,I Wanna Be There,Blessid Union Of Souls
118,7/21/1997,39,Go The Distance,Michael Bolton
119,7/21/1997,40,Crash Into Me,Dave Matthews Band
120,7/28/1997,1,Bitch,Meredith Brooks
121,7/28/1997,2,Do You Know,Robyn
122,7/28/1997,3,Sunny Came Home,Shawn Colvin
123,7/28/1997,4,Quit Playing Games (with My Heart),Backstreet Boys
124,7/28/1997,5,Semi-charmed Life,Third Eye Blind
125,7/28/1997,6,Return Of The Mack,Mark Morrison
126,7/28/1997,7,Mmm Bop,Hanson
