order_long,order_short,week,position,song,artist
0,0,7/7/97,1,Mmm Bop,Hanson
1,1,7/7/97,2,Bitch,Meredith Brooks
2,2,7/7/97,3,Say You'll Be There,Spice Girls
3,3,7/7/97,4,Return Of The Mack,Mark Morrison
4,4,7/7/97,5,Sunny Came Home,Shawn Colvin
5,5,7/7/97,6,Do You Know,Robyn
6,6,7/7/97,7,The Freshmen,Verve Pipe
7,7,7/7/97,8,Hard To Say I'm Sorry,Az Yet
8,8,7/7/97,9,I Want You,Savage Garden
9,9,7/7/97,10,Quit Playing Games (with My Heart),Backstreet Boys
10,10,7/7/97,11,Semi-charmed Life,Third Eye Blind
11,11,7/7/97,12,For You I Will,Monica
12,12,7/7/97,13,Your Woman,White Town
13,13,7/7/97,14,You Were Meant For Me,Jewel
14,14,7/7/97,15,One Headlight,Wallflowers
15,15,7/7/97,16,All For You,Sister Hazel
16,16,7/7/97,17,Where Have All The Cowboys Gone?,Paula Cole
17,17,7/7/97,18,How Bizarre,Omc
18,18,7/7/97,19,Butterfly Kisses,Raybon Brothers
19,19,7/7/97,20,Barely Breathing,Duncan Sheik
20,20,7/7/97,21,I'll Be Missing You,Diddy
21,21,7/7/97,22,Whatever,En Vogue
22,22,7/7/97,23,Don't Leave Me,Blackstreet
23,23,7/7/97,24,A Change Would Do You Good,Sheryl Crow
24,24,7/7/97,25,I Wanna Be There,Blessid Union Of Souls
25,25,7/7/97,26,Look Into My Eyes,Bone Thugs-N-Harmony
26,26,7/7/97,27,I Belong To You,Rome
27,27,7/7/97,28,G.h.e.t.t.o.u.t.,Changing Faces
28,28,7/7/97,29,It's Your Love,Tim McGraw
29,29,7/7/97,30,Da' Dip,Freak Nasty
30,30,7/7/97,31,Gimme Some Love,Gina G
31,31,7/7/97,32,Smile,Scarface
32,32,7/7/97,33,Gotham City,R. Kelly
33,33,7/7/97,34,Cupid,112
34,34,7/7/97,35,Can U Feel It,3rd Party
35,35,7/7/97,36,Go The Distance,Michael Bolton
36,36,7/7/97,37,Daylight Fading,Counting Crow
37,37,7/7/97,38,Can't Nobody Hold Me Down,Diddy
38,38,7/7/97,39,"How Come, How Long",Babyface
39,39,7/7/97,40,How Do I Live,LeAnn Rimes
61,40,7/14/97,22,Butterfly Kisses,Bob Carlisle
72,41,7/14/97,33,C U When U Get There,Coolio
79,42,7/14/97,40,Men In Black,Will Smith
114,43,7/21/97,35,To The Moon And Back,Savage Garden
115,44,7/21/97,36,How Do I Live,Trisha Yearwood
118,45,7/21/97,40,Crash Into Me,Dave Matthews Band
139,46,7/28/97,21,"Mo Money,mo Problems",Notorious B.I.G.
141,47,7/28/97,23,2 Become 1,Spice Girls
182,48,8/4/97,26,Where's The Love,Hanson
183,49,8/4/97,27,Not Tonight,Lil' Kim
185,50,8/4/97,29,Never Make A Promise,Dru Hill
193,51,8/4/97,37,The Difference,Wallflowers
194,52,8/4/97,38,Someone,SWV
195,53,8/4/97,39,Invisible Man,98 Degrees
196,54,8/4/97,40,Push,Matchbox 20
226,55,8/11/97,31,Coco Jamboo,Mr.President
