chart_order,week,position,song,artist,combo_str
0,1997-07-07,1,Mmm Bop,Hanson,HansonMmm Bop
1,1997-07-07,2,Bitch,Meredith Brooks,Meredith BrooksBitch
2,1997-07-07,3,Say You'll Be There,Spice Girls,Spice GirlsSay You'll Be There
3,1997-07-07,4,Return Of The Mack,Mark Morrison,Mark MorrisonReturn Of The Mack
4,1997-07-07,5,Sunny Came Home,Shawn Colvin,Shawn ColvinSunny Came Home
5,1997-07-07,6,Do You Know,Robyn,RobynDo You Know
6,1997-07-07,7,The Freshmen,Verve Pipe,Verve PipeThe Freshmen
7,1997-07-07,8,Hard To Say I'm Sorry,Az Yet,Az YetHard To Say I'm Sorry
8,1997-07-07,9,I Want You,Savage Garden,Savage GardenI Want You
9,1997-07-07,10,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
10,1997-07-07,11,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
11,1997-07-07,12,For You I Will,Monica,MonicaFor You I Will
12,1997-07-07,13,Your Woman,White Town,White TownYour Woman
13,1997-07-07,15,One Headlight,Wallflowers,WallflowersOne Headlight
14,1997-07-07,16,All For You,Sister Hazel,Sister HazelAll For You
15,1997-07-07,17,Where Have All The Cowboys Gone?,Paula Cole,Paula ColeWhere Have All The Cowboys Gone?
16,1997-07-07,18,How Bizarre,Omc,OmcHow Bizarre
17,1997-07-07,20,Barely Breathing,Duncan Sheik,Duncan SheikBarely Breathing
18,1997-07-07,22,Whatever,En Vogue,En VogueWhatever
19,1997-07-07,23,Don't Leave Me,Blackstreet,BlackstreetDon't Leave Me
20,1997-07-07,25,I Wanna Be There,Blessid Union Of Souls,Blessid Union Of SoulsI Wanna Be There
21,1997-07-07,28,G.h.e.t.t.o.u.t.,Changing Faces,Changing FacesG.h.e.t.t.o.u.t.
22,1997-07-07,30,Da' Dip,Freak Nasty,Freak NastyDa' Dip
23,1997-07-07,32,Smile,Scarface,ScarfaceSmile
24,1997-07-07,34,Cupid,112,112Cupid
25,1997-07-07,36,Go The Distance,Michael Bolton,Michael BoltonGo The Distance
26,1997-07-07,40,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
27,1997-07-14,1,Bitch,Meredith Brooks,Meredith BrooksBitch
28,1997-07-14,2,Mmm Bop,Hanson,HansonMmm Bop
29,1997-07-14,3,Return Of The Mack,Mark Morrison,Mark MorrisonReturn Of The Mack
30,1997-07-14,4,Sunny Came Home,Shawn Colvin,Shawn ColvinSunny Came Home
31,1997-07-14,5,Do You Know,Robyn,RobynDo You Know
32,1997-07-14,6,Say You'll Be There,Spice Girls,Spice GirlsSay You'll Be There
33,1997-07-14,7,The Freshmen,Verve Pipe,Verve PipeThe Freshmen
34,1997-07-14,8,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
35,1997-07-14,9,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
36,1997-07-14,10,Hard To Say I'm Sorry,Az Yet,Az YetHard To Say I'm Sorry
37,1997-07-14,11,Whatever,En Vogue,En VogueWhatever
38,1997-07-14,12,All For You,Sister Hazel,Sister HazelAll For You
39,1997-07-14,13,I Want You,Savage Garden,Savage GardenI Want You
40,1997-07-14,14,For You I Will,Monica,MonicaFor You I Will
41,1997-07-14,15,How Bizarre,Omc,OmcHow Bizarre
42,1997-07-14,17,One Headlight,Wallflowers,WallflowersOne Headlight
43,1997-07-14,18,Your Woman,White Town,White TownYour Woman
44,1997-07-14,21,Where Have All The Cowboys Gone?,Paula Cole,Paula ColeWhere Have All The Cowboys Gone?
45,1997-07-14,22,Butterfly Kisses,Bob Carlisle,Bob CarlisleButterfly Kisses
46,1997-07-14,23,Barely Breathing,Duncan Sheik,Duncan SheikBarely Breathing
47,1997-07-14,25,Don't Leave Me,Blackstreet,BlackstreetDon't Leave Me
48,1997-07-14,29,G.h.e.t.t.o.u.t.,Changing Faces,Changing FacesG.h.e.t.t.o.u.t.
49,1997-07-14,30,Smile,Scarface,ScarfaceSmile
50,1997-07-14,31,I Wanna Be There,Blessid Union Of Souls,Blessid Union Of SoulsI Wanna Be There
51,1997-07-14,33,C U When U Get There,Coolio,CoolioC U When U Get There
52,1997-07-14,34,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
53,1997-07-14,35,Cupid,112,112Cupid
54,1997-07-14,38,Da' Dip,Freak Nasty,Freak NastyDa' Dip
55,1997-07-21,1,Bitch,Meredith Brooks,Meredith BrooksBitch
56,1997-07-21,2,Mmm Bop,Hanson,HansonMmm Bop
57,1997-07-21,3,Sunny Came Home,Shawn Colvin,Shawn ColvinSunny Came Home
58,1997-07-21,4,Do You Know,Robyn,RobynDo You Know
59,1997-07-21,5,Return Of The Mack,Mark Morrison,Mark MorrisonReturn Of The Mack
60,1997-07-21,6,The Freshmen,Verve Pipe,Verve PipeThe Freshmen
61,1997-07-21,7,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
62,1997-07-21,8,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
63,1997-07-21,9,Say You'll Be There,Spice Girls,Spice GirlsSay You'll Be There
64,1997-07-21,10,Hard To Say I'm Sorry,Az Yet,Az YetHard To Say I'm Sorry
65,1997-07-21,11,All For You,Sister Hazel,Sister HazelAll For You
66,1997-07-21,12,Whatever,En Vogue,En VogueWhatever
67,1997-07-21,14,How Bizarre,Omc,OmcHow Bizarre
68,1997-07-21,15,I Want You,Savage Garden,Savage GardenI Want You
69,1997-07-21,16,For You I Will,Monica,MonicaFor You I Will
70,1997-07-21,18,One Headlight,Wallflowers,WallflowersOne Headlight
71,1997-07-21,20,Barely Breathing,Duncan Sheik,Duncan SheikBarely Breathing
72,1997-07-21,22,Your Woman,White Town,White TownYour Woman
73,1997-07-21,23,Where Have All The Cowboys Gone?,Paula Cole,Paula ColeWhere Have All The Cowboys Gone?
74,1997-07-21,25,Smile,Scarface,ScarfaceSmile
75,1997-07-21,26,G.h.e.t.t.o.u.t.,Changing Faces,Changing FacesG.h.e.t.t.o.u.t.
76,1997-07-21,28,Don't Leave Me,Blackstreet,BlackstreetDon't Leave Me
77,1997-07-21,31,Butterfly Kisses,Bob Carlisle,Bob CarlisleButterfly Kisses
78,1997-07-21,32,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
79,1997-07-21,33,C U When U Get There,Coolio,CoolioC U When U Get There
80,1997-07-21,36,How Do I Live,Trisha Yearwood,Trisha YearwoodHow Do I Live
81,1997-07-21,38,I Wanna Be There,Blessid Union Of Souls,Blessid Union Of SoulsI Wanna Be There
82,1997-07-21,39,Go The Distance,Michael Bolton,Michael BoltonGo The Distance
83,1997-07-21,40,Crash Into Me,Dave Matthews Band,Dave Matthews BandCrash Into Me
84,1997-07-28,1,Bitch,Meredith Brooks,Meredith BrooksBitch
85,1997-07-28,2,Do You Know,Robyn,RobynDo You Know
86,1997-07-28,3,Sunny Came Home,Shawn Colvin,Shawn ColvinSunny Came Home
87,1997-07-28,4,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
88,1997-07-28,5,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
89,1997-07-28,6,Return Of The Mack,Mark Morrison,Mark MorrisonReturn Of The Mack
90,1997-07-28,7,Mmm Bop,Hanson,HansonMmm Bop
91,1997-07-28,8,How Bizarre,Omc,OmcHow Bizarre
92,1997-07-28,9,The Freshmen,Verve Pipe,Verve PipeThe Freshmen
93,1997-07-28,10,Say You'll Be There,Spice Girls,Spice GirlsSay You'll Be There
94,1997-07-28,11,All For You,Sister Hazel,Sister HazelAll For You
95,1997-07-28,12,Hard To Say I'm Sorry,Az Yet,Az YetHard To Say I'm Sorry
96,1997-07-28,14,Whatever,En Vogue,En VogueWhatever
97,1997-07-28,16,I Want You,Savage Garden,Savage GardenI Want You
98,1997-07-28,18,For You I Will,Monica,MonicaFor You I Will
99,1997-07-28,19,One Headlight,Wallflowers,WallflowersOne Headlight
100,1997-07-28,20,Barely Breathing,Duncan Sheik,Duncan SheikBarely Breathing
101,1997-07-28,23,2 Become 1,Spice Girls,Spice Girls2 Become 1
102,1997-07-28,25,Your Woman,White Town,White TownYour Woman
103,1997-07-28,29,Where Have All The Cowboys Gone?,Paula Cole,Paula ColeWhere Have All The Cowboys Gone?
104,1997-07-28,30,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
105,1997-07-28,31,G.h.e.t.t.o.u.t.,Changing Faces,Changing FacesG.h.e.t.t.o.u.t.
106,1997-07-28,33,Smile,Scarface,ScarfaceSmile
107,1997-07-28,34,C U When U Get There,Coolio,CoolioC U When U Get There
108,1997-07-28,35,Crash Into Me,Dave Matthews Band,Dave Matthews BandCrash Into Me
109,1997-07-28,37,How Do I Live,Trisha Yearwood,Trisha YearwoodHow Do I Live
110,1997-07-28,39,Don't Leave Me,Blackstreet,BlackstreetDon't Leave Me
111,1997-07-28,40,Go The Distance,Michael Bolton,Michael BoltonGo The Distance
112,1997-08-04,1,Bitch,Meredith Brooks,Meredith BrooksBitch
113,1997-08-04,2,Do You Know,Robyn,RobynDo You Know
114,1997-08-04,3,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
115,1997-08-04,4,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
116,1997-08-04,5,Sunny Came Home,Shawn Colvin,Shawn ColvinSunny Came Home
117,1997-08-04,6,How Bizarre,Omc,OmcHow Bizarre
118,1997-08-04,7,Return Of The Mack,Mark Morrison,Mark MorrisonReturn Of The Mack
119,1997-08-04,8,The Freshmen,Verve Pipe,Verve PipeThe Freshmen
120,1997-08-04,9,All For You,Sister Hazel,Sister HazelAll For You
121,1997-08-04,10,Mmm Bop,Hanson,HansonMmm Bop
122,1997-08-04,12,Say You'll Be There,Spice Girls,Spice GirlsSay You'll Be There
123,1997-08-04,13,Hard To Say I'm Sorry,Az Yet,Az YetHard To Say I'm Sorry
124,1997-08-04,15,Whatever,En Vogue,En VogueWhatever
125,1997-08-04,17,2 Become 1,Spice Girls,Spice Girls2 Become 1
126,1997-08-04,19,One Headlight,Wallflowers,WallflowersOne Headlight
127,1997-08-04,21,I Want You,Savage Garden,Savage GardenI Want You
128,1997-08-04,23,Barely Breathing,Duncan Sheik,Duncan SheikBarely Breathing
129,1997-08-04,25,For You I Will,Monica,MonicaFor You I Will
130,1997-08-04,26,Where's The Love,Hanson,HansonWhere's The Love
131,1997-08-04,27,Not Tonight,Lil' Kim,Lil' KimNot Tonight
132,1997-08-04,28,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
133,1997-08-04,31,Crash Into Me,Dave Matthews Band,Dave Matthews BandCrash Into Me
134,1997-08-04,32,C U When U Get There,Coolio,CoolioC U When U Get There
135,1997-08-04,33,Your Woman,White Town,White TownYour Woman
136,1997-08-04,35,G.h.e.t.t.o.u.t.,Changing Faces,Changing FacesG.h.e.t.t.o.u.t.
137,1997-08-04,37,The Difference,Wallflowers,WallflowersThe Difference
138,1997-08-11,1,Bitch,Meredith Brooks,Meredith BrooksBitch
139,1997-08-11,2,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
140,1997-08-11,3,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
141,1997-08-11,4,Do You Know,Robyn,RobynDo You Know
142,1997-08-11,5,How Bizarre,Omc,OmcHow Bizarre
143,1997-08-11,6,Sunny Came Home,Shawn Colvin,Shawn ColvinSunny Came Home
144,1997-08-11,7,2 Become 1,Spice Girls,Spice Girls2 Become 1
145,1997-08-11,8,All For You,Sister Hazel,Sister HazelAll For You
146,1997-08-11,9,Return Of The Mack,Mark Morrison,Mark MorrisonReturn Of The Mack
147,1997-08-11,10,The Freshmen,Verve Pipe,Verve PipeThe Freshmen
148,1997-08-11,12,Hard To Say I'm Sorry,Az Yet,Az YetHard To Say I'm Sorry
149,1997-08-11,13,Mmm Bop,Hanson,HansonMmm Bop
150,1997-08-11,14,Say You'll Be There,Spice Girls,Spice GirlsSay You'll Be There
151,1997-08-11,18,Where's The Love,Hanson,HansonWhere's The Love
152,1997-08-11,21,One Headlight,Wallflowers,WallflowersOne Headlight
153,1997-08-11,23,Barely Breathing,Duncan Sheik,Duncan SheikBarely Breathing
154,1997-08-11,25,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
155,1997-08-11,26,Not Tonight,Lil' Kim,Lil' KimNot Tonight
156,1997-08-11,28,I Want You,Savage Garden,Savage GardenI Want You
157,1997-08-11,30,Crash Into Me,Dave Matthews Band,Dave Matthews BandCrash Into Me
158,1997-08-11,32,C U When U Get There,Coolio,CoolioC U When U Get There
159,1997-08-11,33,The Difference,Wallflowers,WallflowersThe Difference
160,1997-08-11,35,Whatever,En Vogue,En VogueWhatever
161,1997-08-11,36,For You I Will,Monica,MonicaFor You I Will
162,1997-08-11,37,G.h.e.t.t.o.u.t.,Changing Faces,Changing FacesG.h.e.t.t.o.u.t.
163,1997-08-18,1,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
164,1997-08-18,2,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
165,1997-08-18,3,Bitch,Meredith Brooks,Meredith BrooksBitch
166,1997-08-18,4,Do You Know,Robyn,RobynDo You Know
167,1997-08-18,5,How Bizarre,Omc,OmcHow Bizarre
168,1997-08-18,6,2 Become 1,Spice Girls,Spice Girls2 Become 1
169,1997-08-18,7,Sunny Came Home,Shawn Colvin,Shawn ColvinSunny Came Home
170,1997-08-18,8,All For You,Sister Hazel,Sister HazelAll For You
171,1997-08-18,10,The Freshmen,Verve Pipe,Verve PipeThe Freshmen
172,1997-08-18,11,Return Of The Mack,Mark Morrison,Mark MorrisonReturn Of The Mack
173,1997-08-18,13,Where's The Love,Hanson,HansonWhere's The Love
174,1997-08-18,14,Hard To Say I'm Sorry,Az Yet,Az YetHard To Say I'm Sorry
175,1997-08-18,17,Say You'll Be There,Spice Girls,Spice GirlsSay You'll Be There
176,1997-08-18,18,Mmm Bop,Hanson,HansonMmm Bop
177,1997-08-18,21,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
178,1997-08-18,26,One Headlight,Wallflowers,WallflowersOne Headlight
179,1997-08-18,28,Crash Into Me,Dave Matthews Band,Dave Matthews BandCrash Into Me
180,1997-08-18,30,Not Tonight,Lil' Kim,Lil' KimNot Tonight
181,1997-08-18,31,The Difference,Wallflowers,WallflowersThe Difference
182,1997-08-18,32,C U When U Get There,Coolio,CoolioC U When U Get There
183,1997-08-18,33,G.h.e.t.t.o.u.t.,Changing Faces,Changing FacesG.h.e.t.t.o.u.t.
184,1997-08-18,38,If You Could Only See,Tonic,TonicIf You Could Only See
185,1997-08-25,1,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
186,1997-08-25,2,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
187,1997-08-25,3,2 Become 1,Spice Girls,Spice Girls2 Become 1
188,1997-08-25,4,Do You Know,Robyn,RobynDo You Know
189,1997-08-25,5,Bitch,Meredith Brooks,Meredith BrooksBitch
190,1997-08-25,6,How Bizarre,Omc,OmcHow Bizarre
191,1997-08-25,7,All For You,Sister Hazel,Sister HazelAll For You
192,1997-08-25,8,Sunny Came Home,Shawn Colvin,Shawn ColvinSunny Came Home
193,1997-08-25,10,The Freshmen,Verve Pipe,Verve PipeThe Freshmen
194,1997-08-25,11,Return Of The Mack,Mark Morrison,Mark MorrisonReturn Of The Mack
195,1997-08-25,12,Where's The Love,Hanson,HansonWhere's The Love
196,1997-08-25,19,Hard To Say I'm Sorry,Az Yet,Az YetHard To Say I'm Sorry
197,1997-08-25,20,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
198,1997-08-25,22,Say You'll Be There,Spice Girls,Spice GirlsSay You'll Be There
199,1997-08-25,24,Mmm Bop,Hanson,HansonMmm Bop
200,1997-08-25,25,Crash Into Me,Dave Matthews Band,Dave Matthews BandCrash Into Me
201,1997-08-25,27,The Difference,Wallflowers,WallflowersThe Difference
202,1997-08-25,28,Not Tonight,Lil' Kim,Lil' KimNot Tonight
203,1997-08-25,30,One Headlight,Wallflowers,WallflowersOne Headlight
204,1997-08-25,34,C U When U Get There,Coolio,CoolioC U When U Get There
205,1997-08-25,37,G.h.e.t.t.o.u.t.,Changing Faces,Changing FacesG.h.e.t.t.o.u.t.
206,1997-08-25,38,If You Could Only See,Tonic,TonicIf You Could Only See
207,1997-08-25,40,When I Die,No Mercy,No MercyWhen I Die
208,1997-09-01,1,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
209,1997-09-01,2,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
210,1997-09-01,3,2 Become 1,Spice Girls,Spice Girls2 Become 1
211,1997-09-01,4,All For You,Sister Hazel,Sister HazelAll For You
212,1997-09-01,5,Do You Know,Robyn,RobynDo You Know
213,1997-09-01,6,Bitch,Meredith Brooks,Meredith BrooksBitch
214,1997-09-01,7,Sunny Came Home,Shawn Colvin,Shawn ColvinSunny Came Home
215,1997-09-01,9,How Bizarre,Omc,OmcHow Bizarre
216,1997-09-01,11,The Freshmen,Verve Pipe,Verve PipeThe Freshmen
217,1997-09-01,12,Where's The Love,Hanson,HansonWhere's The Love
218,1997-09-01,14,Return Of The Mack,Mark Morrison,Mark MorrisonReturn Of The Mack
219,1997-09-01,18,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
220,1997-09-01,19,Building A Mystery,Sarah McLachlan,Sarah McLachlanBuilding A Mystery
221,1997-09-01,22,Barbie Girl,Aqua,AquaBarbie Girl
222,1997-09-01,23,Hard To Say I'm Sorry,Az Yet,Az YetHard To Say I'm Sorry
223,1997-09-01,24,The Difference,Wallflowers,WallflowersThe Difference
224,1997-09-01,27,Crash Into Me,Dave Matthews Band,Dave Matthews BandCrash Into Me
225,1997-09-01,30,Not Tonight,Lil' Kim,Lil' KimNot Tonight
226,1997-09-01,31,If You Could Only See,Tonic,TonicIf You Could Only See
227,1997-09-01,32,Say You'll Be There,Spice Girls,Spice GirlsSay You'll Be There
228,1997-09-01,33,Mmm Bop,Hanson,HansonMmm Bop
229,1997-09-01,35,I Don't Want To Wait,Paula Cole,Paula ColeI Don't Want To Wait
230,1997-09-01,36,C U When U Get There,Coolio,CoolioC U When U Get There
231,1997-09-01,40,G.h.e.t.t.o.u.t.,Changing Faces,Changing FacesG.h.e.t.t.o.u.t.
232,1997-09-08,1,2 Become 1,Spice Girls,Spice Girls2 Become 1
233,1997-09-08,2,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
234,1997-09-08,3,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
235,1997-09-08,6,All For You,Sister Hazel,Sister HazelAll For You
236,1997-09-08,7,Do You Know,Robyn,RobynDo You Know
237,1997-09-08,9,Bitch,Meredith Brooks,Meredith BrooksBitch
238,1997-09-08,10,Sunny Came Home,Shawn Colvin,Shawn ColvinSunny Came Home
239,1997-09-08,12,How Bizarre,Omc,OmcHow Bizarre
240,1997-09-08,14,Where's The Love?,Hanson,HansonWhere's The Love?
241,1997-09-08,16,The Freshmen,Verve Pipe,Verve PipeThe Freshmen
242,1997-09-08,17,Return Of The Mack,Mark Morrison,Mark MorrisonReturn Of The Mack
243,1997-09-08,18,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
244,1997-09-08,20,Building A Mystery,Sarah McLachlan,Sarah McLachlanBuilding A Mystery
245,1997-09-08,21,Barbie Girl,Aqua,AquaBarbie Girl
246,1997-09-08,22,The Difference,Wallflowers,WallflowersThe Difference
247,1997-09-08,24,Crash Into Me,Dave Matthews Band,Dave Matthews BandCrash Into Me
248,1997-09-08,26,If You Could Only See,Tonic,TonicIf You Could Only See
249,1997-09-08,28,Hard To Say I'm Sorry,Az Yet,Az YetHard To Say I'm Sorry
250,1997-09-08,29,I Don't Want To Wait,Paula Cole,Paula ColeI Don't Want To Wait
251,1997-09-08,31,Not Tonight,Lil' Kim,Lil' KimNot Tonight
252,1997-09-08,33,Fly,Sugar Ray,Sugar RayFly
253,1997-09-08,35,Say You'll Be There,Spice Girls,Spice GirlsSay You'll Be There
254,1997-09-08,36,All Cried Out,Allure,AllureAll Cried Out
255,1997-09-08,37,C U When U Get There,Coolio,CoolioC U When U Get There
256,1997-09-08,39,Mmm Bop,Hanson,HansonMmm Bop
257,1997-09-08,40,I Miss My Homies,Master P,Master PI Miss My Homies
258,1997-09-15,1,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
259,1997-09-15,2,2 Become 1,Spice Girls,Spice Girls2 Become 1
260,1997-09-15,3,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
261,1997-09-15,6,All For You,Sister Hazel,Sister HazelAll For You
262,1997-09-15,7,Do You Know,Robyn,RobynDo You Know
263,1997-09-15,11,Bitch,Meredith Brooks,Meredith BrooksBitch
264,1997-09-15,12,Sunny Came Home,Shawn Colvin,Shawn ColvinSunny Came Home
265,1997-09-15,14,How Bizarre,Omc,OmcHow Bizarre
266,1997-09-15,15,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
267,1997-09-15,16,Barbie Girl,Aqua,AquaBarbie Girl
268,1997-09-15,17,The Freshmen,Verve Pipe,Verve PipeThe Freshmen
